Year,repro
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,1
1996,0
1996,0
1996,0
1996,0
1996,0
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,1
1997,0
1997,0
1997,0
1997,0
1997,0
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,1
1998,0
1998,0
1998,0
1998,0
1998,0
1998,0
1998,0
1998,0
1998,0
1998,0
1998,0
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,1
1999,0
1999,0
1999,0
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,1
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2000,0
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,1
2001,0
2001,0
2001,0
2001,0
2001,0
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,1
2002,0
2002,0
2002,0
2002,0
2002,0
2002,0
2002,0
2002,0
2002,0
2002,0
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,1
2003,0
2003,0
2003,0
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,1
2004,0
2004,0
2004,0
2004,0
2004,0
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,1
2005,0
2005,0
2005,0
2005,0
2005,0
2005,0
2005,0
2005,0
2005,0
2005,0
2005,0
2005,0
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,1
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2006,0
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,1
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2007,0
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,1
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
2008,0
